sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GYROSCOPE X (°/s);GYROSCOPE Y (°/s);GYROSCOPE Z (°/s);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-1.8949;-5.8428;-7.8036;-111.25;-193.68;-81.01;13;2021-12-04 13:19:19:454
5.8308;-6.2689;-11.7143;615.06;549.93;496.71;513;2021-12-04 13:19:19:954
-6.7645;-3.663;-9.562;-115.75;95.67;-240.37;1013;2021-12-04 13:19:20:454
-5.0803;-19.1085;-8.7002;-8.65;-39.34;-30.04;1513;2021-12-04 13:19:20:954
11.2439;-1.6507;-11.5001;-51.29;12.78;-80.79;2013;2021-12-04 13:19:21:454
-9.6889;-3.0716;-8.0944;-80.7;12.15;-194.24;2512;2021-12-04 13:19:21:953
-5.741;-9.1562;-7.5761;-23.74;-3.13;-95.7;3013;2021-12-04 13:19:22:454
4.3872;-0.6021;-9.5213;-134.0;-167.34;-46.19;3513;2021-12-04 13:19:22:954
-7.8371;-2.2684;-8.9539;-98.14;42.09;-205.02;4013;2021-12-04 13:19:23:454
-4.3632;-10.7591;-6.5467;2.88;-65.51;-52.01;4513;2021-12-04 13:19:23:954
11.2331;-0.4597;-13.9145;-112.38;-257.85;35.09;5012;2021-12-04 13:19:24:453
-3.3757;-1.4053;-10.8896;-103.35;96.5;-216.08;5513;2021-12-04 13:19:24:954
-3.8306;-8.3183;-7.7389;-46.12;26.84;-59.23;6014;2021-12-04 13:19:25:455
7.9867;-4.362;-9.9032;119.75;570.97;224.32;6513;2021-12-04 13:19:25:954
-5.8524;-0.7805;-7.7784;-80.38;-28.93;-241.29;7013;2021-12-04 13:19:26:454
-5.9805;-9.1682;-9.5118;4.67;-33.65;-115.4;7513;2021-12-04 13:19:26:954
1.5657;-3.5516;-5.6489;-44.82;117.19;47.65;8013;2021-12-04 13:19:27:454
-7.308;-3.3194;-8.5505;-103.86;-0.33;-224.72;8514;2021-12-04 13:19:27:955
-2.7807;-4.6529;-9.7907;-15.55;-35.18;-93.63;9013;2021-12-04 13:19:28:454
-0.0048;-4.9869;-3.5121;555.86;540.53;382.79;9513;2021-12-04 13:19:28:954
-8.5852;-0.911;-7.2541;-93.19;36.85;-126.43;10013;2021-12-04 13:19:29:454
-9.428;-5.8272;-3.1195;-7.61;-95.86;-248.12;10512;2021-12-04 13:19:29:953
5.777;-30.3069;-23.9158;269.0;396.78;360.31;11013;2021-12-04 13:19:30:454
-3.4679;0.6428;-10.7627;-64.32;23.99;-106.58;11513;2021-12-04 13:19:30:954
-6.7621;-2.2289;-8.8258;-40.75;30.61;-204.44;12013;2021-12-04 13:19:31:454
6.652;-58.4639;-29.8341;693.42;-99.64;563.68;12513;2021-12-04 13:19:31:954
-1.7549;-1.4508;-10.0085;-109.59;11.43;-157.5;13013;2021-12-04 13:19:32:454
-9.5932;-4.3549;-5.6213;-50.48;29.0;-285.3;13513;2021-12-04 13:19:32:954
-18.0527;-20.0554;5.5962;315.34;-11.82;344.3;14013;2021-12-04 13:19:33:454
-0.6201;-0.6644;-10.4024;-31.93;28.3;-66.05;14513;2021-12-04 13:19:33:954
-6.5479;-3.0405;-6.9908;-113.32;60.28;-177.86;15014;2021-12-04 13:19:34:455
-6.664;-21.3996;-4.7331;30.67;6.69;10.0;15513;2021-12-04 13:19:34:954
1.5969;-0.2394;-11.6748;-25.19;-70.12;-0.47;16013;2021-12-04 13:19:35:454
-8.4763;-2.6491;-6.4246;-127.02;33.82;-185.52;16513;2021-12-04 13:19:35:954
-2.5761;-6.7454;-9.6889;-15.11;-56.22;-57.34;17013;2021-12-04 13:19:36:454
5.3341;-2.3582;-11.6676;186.76;362.92;160.25;17513;2021-12-04 13:19:36:954
-7.4588;-5.3568;-6.7442;-167.78;2.88;-251.1;18013;2021-12-04 13:19:37:454
-4.1753;-3.7743;-7.1057;8.08;-77.06;-118.03;18514;2021-12-04 13:19:37:955
22.6422;-25.4924;-36.2131;319.97;538.08;333.84;19013;2021-12-04 13:19:38:454
-6.1325;-0.6177;-8.9707;-117.58;44.94;-205.17;19513;2021-12-04 13:19:38:954
-5.8057;-5.3759;-8.1723;13.32;1.11;-124.94;20013;2021-12-04 13:19:39:454
17.0208;-28.7567;-34.3793;751.97;122.0;511.55;20513;2021-12-04 13:19:39:954
-1.8183;-0.7099;-9.8697;-112.71;62.94;-222.69;21013;2021-12-04 13:19:40:454
-9.246;-3.7168;-6.391;-35.16;-35.51;-169.86;21513;2021-12-04 13:19:40:954
-15.9866;-41.3832;9.1778;269.33;36.53;274.58;22013;2021-12-04 13:19:41:454
-4.2854;-0.662;-8.0585;-80.43;62.99;-123.86;22513;2021-12-04 13:19:41:954
-7.12;-3.4774;-9.2747;-60.23;76.24;-174.29;23013;2021-12-04 13:19:42:454
-7.1907;-17.0436;-6.9405;74.58;66.35;77.6;23513;2021-12-04 13:19:42:954
-4.1047;-1.4101;-10.2731;-47.44;164.58;-52.62;24013;2021-12-04 13:19:43:454
-7.8131;-2.7748;-7.9376;-102.78;62.86;-227.91;24513;2021-12-04 13:19:43:954
-5.9709;-9.7667;-8.9324;1.64;-28.22;13.87;25013;2021-12-04 13:19:44:454
6.1875;-1.9679;-15.2265;148.92;520.5;146.09;25514;2021-12-04 13:19:44:955
-5.3544;-0.3483;-12.8862;-150.88;26.07;-243.2;26013;2021-12-04 13:19:45:454
-6.9968;-7.934;-8.7887;-28.98;-10.93;-78.8;26512;2021-12-04 13:19:45:953
1.7441;-4.5524;-9.1502;142.59;437.65;213.17;27014;2021-12-04 13:19:46:455
-5.6118;-3.3781;-7.2817;-113.27;-0.51;-237.17;27514;2021-12-04 13:19:46:955
-6.6412;-5.2335;-7.1596;-35.05;-48.71;-88.45;28013;2021-12-04 13:19:47:454
3.262;-2.3534;-13.9181;235.73;378.86;240.24;28513;2021-12-04 13:19:47:954
-6.5754;-2.26;-9.7296;-144.0;5.83;-216.78;29013;2021-12-04 13:19:48:454
-4.374;-4.9354;-9.1215;-21.12;23.47;-127.06;29513;2021-12-04 13:19:48:954
13.8965;-45.7141;-30.9162;639.46;-179.97;481.87;30013;2021-12-04 13:19:49:454
-5.862;-0.6751;-8.6164;-61.57;21.93;-176.33;30513;2021-12-04 13:19:49:954
-7.2733;-1.4197;-8.8869;-6.55;47.68;-20.74;31013;2021-12-04 13:19:50:454
-3.6199;-0.9301;-9.0198;21.83;-3.42;17.73;31514;2021-12-04 13:19:50:955
