sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GYROSCOPE X (°/s);GYROSCOPE Y (°/s);GYROSCOPE Z (°/s);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-3.0656;-2.9352;9.6686;27.16;13.47;-3.79;25;2021-12-04 13:02:46:929
-5.6261;-0.9864;2.7041;-23.55;25.62;-51.2;525;2021-12-04 13:02:47:429
-9.1095;-3.4631;-5.1329;-22.69;42.13;-60.06;1026;2021-12-04 13:02:47:930
-5.431;-7.0123;-4.769;-30.58;21.19;28.0;1525;2021-12-04 13:02:48:429
3.5373;-49.34;-20.2589;792.32;160.41;507.16;2025;2021-12-04 13:02:48:929
-3.8689;0.3304;-9.4914;-80.52;-26.42;-103.7;2523;2021-12-04 13:02:49:427
-6.02;-4.3249;-4.963;-66.68;-14.25;-192.5;3025;2021-12-04 13:02:49:929
-4.5572;-8.6642;-2.0003;-71.62;26.93;-15.51;3524;2021-12-04 13:02:50:428
10.3928;-17.6936;-20.4013;146.98;163.14;192.02;4024;2021-12-04 13:02:50:928
-4.2364;-0.0527;-8.6475;-58.82;12.97;-82.68;4524;2021-12-04 13:02:51:428
-7.0015;-3.5313;-5.2934;-91.93;-39.4;-164.4;5024;2021-12-04 13:02:51:928
-7.0255;-8.1675;-0.079;-70.08;51.37;3.64;5525;2021-12-04 13:02:52:429
-18.887;-44.7553;9.2029;800.87;76.9;628.19;6024;2021-12-04 13:02:52:928
-2.2912;0.1413;-9.1526;-43.85;6.23;-57.86;6525;2021-12-04 13:02:53:429
-10.8429;-2.3749;-5.103;-119.47;65.34;-161.82;7024;2021-12-04 13:02:53:928
-8.2956;-5.3999;-8.4069;-7.21;-99.47;-71.67;7525;2021-12-04 13:02:54:429
-19.6747;-40.0042;13.3698;852.4;-26.67;498.73;8024;2021-12-04 13:02:54:928
-3.5253;1.4831;-8.693;-43.83;40.48;-45.67;8524;2021-12-04 13:02:55:428
-5.7171;1.4113;-8.4643;-56.27;25.82;-84.68;9024;2021-12-04 13:02:55:928
-8.195;0.2107;-7.3128;-34.54;24.37;-95.36;9524;2021-12-04 13:02:56:428
-6.1421;-2.8394;-6.4868;7.07;-112.85;-118.84;10025;2021-12-04 13:02:56:929
24.8304;-47.8329;-43.6384;668.59;429.4;490.49;10525;2021-12-04 13:02:57:429
-3.8689;0.6668;-8.7863;-73.97;7.45;-114.77;11024;2021-12-04 13:02:57:928
-7.2864;-0.6237;-6.7274;-38.78;20.76;-100.21;11524;2021-12-04 13:02:58:428
-9.2292;-3.098;-5.34;-42.92;13.04;-54.64;12025;2021-12-04 13:02:58:929
-5.5028;-5.5471;-4.5081;-89.21;-91.37;-29.24;12525;2021-12-04 13:02:59:429
9.7703;-46.8501;-8.0226;400.45;326.3;323.48;13025;2021-12-04 13:02:59:929
-0.4968;0.6009;-8.7839;-39.45;12.06;-83.57;13525;2021-12-04 13:03:00:429
-8.4081;-6.4054;-4.9354;-99.41;-38.46;-169.15;14024;2021-12-04 13:03:00:928
-6.5993;-6.7549;-8.0813;-94.85;-73.92;-53.21;14524;2021-12-04 13:03:01:428
