sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GYROSCOPE X (°/s);GYROSCOPE Y (°/s);GYROSCOPE Z (°/s);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-5.996;-4.4207;-8.3578;-25.69;90.27;217.82;26;2021-12-04 13:18:21:970
-5.3664;1.7369;-6.7298;-20.31;-110.34;-13.85;525;2021-12-04 13:18:22:469
-11.8723;0.2442;-6.2271;-14.23;-69.92;114.53;1025;2021-12-04 13:18:22:969
-12.6468;-14.507;2.7077;-111.49;-3.98;-105.07;1525;2021-12-04 13:18:23:469
-7.0195;-4.0724;-6.6927;71.98;-24.43;13.67;2026;2021-12-04 13:18:23:970
-5.5316;1.7908;-8.7696;48.88;-26.25;226.87;2525;2021-12-04 13:18:24:469
-11.7071;-2.333;-7.8359;-82.53;-6.44;-57.76;3025;2021-12-04 13:18:24:969
-7.4121;-2.6574;-7.0758;75.31;-76.28;-13.32;3528;2021-12-04 13:18:25:472
11.0643;1.0474;-11.5659;68.03;99.7;249.12;4025;2021-12-04 13:18:25:969
-8.5362;-1.859;-6.3587;-22.16;-4.31;-25.95;4525;2021-12-04 13:18:26:469
-8.505;-1.5574;-8.5397;83.86;-13.0;140.7;5025;2021-12-04 13:18:26:969
21.7181;2.7484;-19.9488;63.63;167.25;36.54;5525;2021-12-04 13:18:27:469
-4.1538;-1.2844;-8.3841;-46.37;3.4;15.78;6025;2021-12-04 13:18:27:969
-7.071;1.3634;-8.7708;29.44;-67.14;197.56;6525;2021-12-04 13:18:28:469
-7.2038;-9.3274;-22.7284;230.97;483.47;-585.26;7025;2021-12-04 13:18:28:969
-9.5836;-2.3953;-7.879;109.05;-169.35;-89.18;7525;2021-12-04 13:18:29:469
-5.2419;3.1435;-1.3443;103.29;23.1;187.98;8025;2021-12-04 13:18:29:969
14.4639;-13.8068;-19.8866;-111.55;28.83;-108.95;8525;2021-12-04 13:18:30:469
-5.3412;-2.673;-8.5769;46.3;-22.17;2.83;9026;2021-12-04 13:18:30:970
-1.3563;0.0551;-8.8031;9.52;77.96;249.71;9525;2021-12-04 13:18:31:469
-7.1488;-3.2548;-6.7621;-44.32;-24.18;-35.81;10025;2021-12-04 13:18:31:969
-4.7212;-3.0465;-11.287;87.34;45.97;102.21;10525;2021-12-04 13:18:32:469
0.8511;3.1375;-8.8426;-65.68;100.21;96.64;11025;2021-12-04 13:18:32:969
-7.0327;-4.1992;-5.4992;-83.57;-41.32;-41.21;11524;2021-12-04 13:18:33:468
-5.3975;-3.7336;-11.6928;68.43;73.74;97.93;12025;2021-12-04 13:18:33:969
-0.2203;4.5404;-8.0765;-41.71;-10.73;72.14;12525;2021-12-04 13:18:34:469
-5.8272;-3.1423;-6.567;-49.28;49.76;-5.11;13025;2021-12-04 13:18:34:969
-3.6582;-2.6132;-10.7112;45.56;27.54;166.38;13525;2021-12-04 13:18:35:469
15.5437;-4.2088;-14.9583;-26.47;62.7;167.79;14025;2021-12-04 13:18:35:969
-6.7561;-2.0398;-7.0279;-29.03;-20.45;-40.03;14525;2021-12-04 13:18:36:469
-2.8526;-2.4144;-9.4986;68.29;44.46;176.92;15025;2021-12-04 13:18:36:969
18.6405;-2.1966;-17.4051;-9.46;160.4;-231.04;15525;2021-12-04 13:18:37:469
-1.7752;0.7948;-9.0653;58.34;-14.67;21.65;16025;2021-12-04 13:18:37:969
-3.3613;-2.4671;-11.7095;48.27;-23.54;136.49;16525;2021-12-04 13:18:38:469
11.0464;-17.4769;-1.3946;44.17;170.4;-255.75;17025;2021-12-04 13:18:38:969
-2.5174;-0.1317;-9.0329;64.03;-58.08;29.86;17525;2021-12-04 13:18:39:469
-0.9576;-2.0063;-10.4443;29.21;40.18;170.11;18026;2021-12-04 13:18:39:970
14.3981;-4.7463;-17.447;-38.93;88.14;-25.56;18526;2021-12-04 13:18:40:470
-4.6793;-2.3654;-6.4545;48.48;-35.19;28.8;19025;2021-12-04 13:18:40:969
-8.8462;-2.1248;-7.7665;44.68;-10.99;267.09;19525;2021-12-04 13:18:41:469
-32.7166;-39.0166;-19.8986;69.19;-136.51;-327.27;20026;2021-12-04 13:18:41:970
-4.0173;-2.9878;-8.839;79.58;-63.41;-6.36;20525;2021-12-04 13:18:42:469
-2.5617;-2.5461;-10.3042;9.29;-23.8;244.4;21025;2021-12-04 13:18:42:969
-9.9714;-32.0558;-6.2701;252.61;113.23;-581.78;21525;2021-12-04 13:18:43:469
-6.2067;-3.6702;-7.8981;85.67;-11.81;30.66;22025;2021-12-04 13:18:43:969
-7.3631;-2.4097;-7.1715;30.49;-11.66;216.45;22525;2021-12-04 13:18:44:469
-3.0405;-27.4831;-11.2989;54.2;69.69;-611.26;23025;2021-12-04 13:18:44:969
-3.2883;-2.843;-10.1653;106.54;19.1;50.73;23525;2021-12-04 13:18:45:469
0.5303;0.8499;-10.2348;-23.75;1.38;173.8;24025;2021-12-04 13:18:45:969
-22.4854;-8.0849;-24.9573;309.23;-292.03;-363.09;24525;2021-12-04 13:18:46:469
-0.4309;-4.4039;-11.9849;61.12;36.5;93.69;25025;2021-12-04 13:18:46:969
1.6842;0.3196;-11.4558;-119.28;-0.26;100.57;25525;2021-12-04 13:18:47:469
-16.0034;-11.7012;2.4923;-79.77;205.0;-68.88;26025;2021-12-04 13:18:47:969
-0.6249;-2.7365;-12.5223;61.34;80.76;150.78;26525;2021-12-04 13:18:48:469
3.0381;4.2531;-10.5771;-48.35;-91.43;75.04;27026;2021-12-04 13:18:48:970
-6.5203;-13.3914;0.2741;-35.8;46.07;-80.84;27525;2021-12-04 13:18:49:469
1.4197;-1.2868;-12.3919;59.27;43.57;161.82;28025;2021-12-04 13:18:49:969
3.2081;5.5124;-9.1443;-37.71;16.05;60.14;28525;2021-12-04 13:18:50:469
-6.5694;-6.5491;-10.2443;-60.38;150.18;-23.67;29025;2021-12-04 13:18:50:969
2.2624;0.2993;-10.5676;-48.34;50.26;107.42;29525;2021-12-04 13:18:51:469
14.6758;-4.6505;-5.4131;83.31;-49.83;-311.09;30025;2021-12-04 13:18:51:969
-4.4183;-1.804;-11.7347;37.14;93.05;56.45;30525;2021-12-04 13:18:52:469
2.3163;1.1384;-8.0406;-58.69;-30.45;119.72;31025;2021-12-04 13:18:52:969
4.4027;-13.3232;-8.5326;-111.52;-254.14;-102.7;31525;2021-12-04 13:18:53:469
0.5854;-4.3094;-12.1465;84.13;-105.16;29.47;32025;2021-12-04 13:18:53:969
0.7146;0.8403;-8.5254;-123.61;-102.73;123.73;32525;2021-12-04 13:18:54:469
-10.0456;-9.9906;-1.3359;-16.0;-433.81;-240.51;33025;2021-12-04 13:18:54:969
-1.5837;-5.5052;-11.6317;58.83;-51.09;105.02;33525;2021-12-04 13:18:55:469
3.4331;1.8052;-9.1586;-50.45;78.1;87.27;34025;2021-12-04 13:18:55:969
-7.1631;-7.1248;-0.7769;18.57;180.7;-39.16;34526;2021-12-04 13:18:56:470
-2.3737;-2.0649;-11.5443;-28.53;-52.29;90.49;35026;2021-12-04 13:18:56:970
9.8804;2.7424;-11.2068;-15.86;44.41;-52.56;35525;2021-12-04 13:18:57:469
-5.9852;-4.8145;-7.6922;70.22;93.75;29.53;36025;2021-12-04 13:18:57:969
-4.6649;-1.0175;-11.8029;-19.22;38.57;191.21;36525;2021-12-04 13:18:58:469
-6.2426;-24.682;-3.736;86.79;50.43;-440.92;37025;2021-12-04 13:18:58:969
1.7034;-3.414;-12.0423;58.31;56.01;62.06;37525;2021-12-04 13:18:59:469
2.4707;1.0845;-10.7998;-84.09;36.54;150.62;38026;2021-12-04 13:18:59:970
-2.7544;-9.1323;-0.9157;-129.72;69.64;-43.06;38525;2021-12-04 13:19:00:469
-3.3158;-4.532;-10.4119;36.34;-31.74;90.61;39025;2021-12-04 13:19:00:969
11.6521;-5.9254;-5.1808;-65.66;62.88;-9.28;39526;2021-12-04 13:19:01:470
-2.0996;-3.3182;-9.8338;83.17;116.43;40.33;40025;2021-12-04 13:19:01:969
1.7345;-1.1887;-9.0988;-133.5;22.97;112.23;40525;2021-12-04 13:19:02:469
-2.3714;-8.7109;-8.8342;-41.27;-314.1;-167.26;41025;2021-12-04 13:19:02:969
-0.4585;-7.2158;-10.1977;88.13;35.54;53.81;41525;2021-12-04 13:19:03:469
0.1772;1.385;-10.619;-94.03;120.52;94.09;42025;2021-12-04 13:19:03:969
-16.0345;-6.3946;1.3826;1.15;124.62;-42.8;42525;2021-12-04 13:19:04:469
-3.0489;-5.212;-9.8362;59.24;66.03;51.81;43026;2021-12-04 13:19:04:970
-6.4521;-8.59;-3.1446;-35.56;99.08;-6.46;43525;2021-12-04 13:19:05:469
-5.9733;-8.1196;-4.4219;-74.56;-77.23;3.01;44025;2021-12-04 13:19:05:969
-5.7399;-7.0901;-3.6498;-21.99;-11.98;-44.3;44525;2021-12-04 13:19:06:469
-5.5962;-7.9305;-3.7683;19.51;5.13;-9.36;45025;2021-12-04 13:19:06:969
-5.8548;-8.3722;-1.4736;33.23;30.47;1.44;45525;2021-12-04 13:19:07:469
-5.3819;-8.426;-0.7577;10.69;-1.26;-4.14;46025;2021-12-04 13:19:07:969
