sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GYROSCOPE X (°/s);GYROSCOPE Y (°/s);GYROSCOPE Z (°/s);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-6.4317;-6.8866;4.465;-22.37;-132.65;19.87;18;2021-12-04 13:07:30:761
-2.1786;-5.3149;6.2701;49.1;-86.67;17.26;518;2021-12-04 13:07:31:261
0.4776;1.1372;3.748;211.59;-62.68;136.25;1018;2021-12-04 13:07:31:761
16.0369;-16.9454;-1.9476;-144.11;-18.59;-829.68;1518;2021-12-04 13:07:32:261
-5.7542;-4.8744;10.8979;13.36;-121.06;90.78;2018;2021-12-04 13:07:32:761
8.3267;0.7158;4.3728;55.65;-189.81;28.17;2518;2021-12-04 13:07:33:261
5.1006;4.7511;3.2093;126.96;55.67;90.28;3018;2021-12-04 13:07:33:761
-7.6037;-67.0898;12.0651;-135.6;-349.39;-917.54;3518;2021-12-04 13:07:34:261
-6.4186;-1.0606;7.9807;-45.73;-33.21;42.3;4018;2021-12-04 13:07:34:761
-0.9086;1.64;8.4871;77.96;-19.86;149.34;4518;2021-12-04 13:07:35:261
5.0743;5.9924;3.8868;34.09;-46.25;66.43;5018;2021-12-04 13:07:35:761
-32.306;-74.9461;9.993;37.21;-5.25;-601.21;5518;2021-12-04 13:07:36:261
-5.8631;0.0658;7.5881;-28.79;-46.16;79.72;6018;2021-12-04 13:07:36:761
2.7472;4.0724;6.9644;54.65;-44.91;103.24;6518;2021-12-04 13:07:37:261
4.7643;5.0982;5.6776;44.94;-23.43;86.41;7018;2021-12-04 13:07:37:761
-7.126;-1.3778;14.1336;-47.99;-191.11;-47.58;7518;2021-12-04 13:07:38:261
-1.0354;1.9524;8.8067;3.78;-32.06;109.89;8018;2021-12-04 13:07:38:761
2.5342;5.9086;5.3879;71.68;21.97;78.51;8518;2021-12-04 13:07:39:261
4.7451;5.6321;5.4131;-3.43;-33.54;52.37;9018;2021-12-04 13:07:39:761
-5.5974;-1.9045;14.2473;166.25;-357.14;-641.04;9518;2021-12-04 13:07:40:261
-5.5399;0.8296;8.4488;-42.86;-50.12;106.02;10018;2021-12-04 13:07:40:761
0.6715;2.1296;8.8797;26.73;-44.28;18.14;10518;2021-12-04 13:07:41:261
7.5737;3.6522;3.5481;137.35;10.48;100.5;11018;2021-12-04 13:07:41:761
-1.2078;1.6507;1.525;55.77;-4.02;-798.35;11517;2021-12-04 13:07:42:260
-3.6235;0.7936;9.6698;0.4;-28.1;55.45;12018;2021-12-04 13:07:42:761
