sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GYROSCOPE X (°/s);GYROSCOPE Y (°/s);GYROSCOPE Z (°/s);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
6.6843;5.9362;3.5026;44.86;28.49;100.29;16;2021-12-04 13:19:58:109
-3.0225;-5.5962;14.707;-119.63;-93.79;9.64;516;2021-12-04 13:19:58:609
-3.7049;2.8729;4.9055;102.46;-136.5;179.36;1016;2021-12-04 13:19:59:109
7.2864;6.1337;0.5147;44.36;23.11;68.04;1515;2021-12-04 13:19:59:608
-9.6817;-5.0001;16.8616;-160.57;-59.23;51.31;2016;2021-12-04 13:20:00:109
-5.127;3.9096;6.0523;52.15;-53.0;158.04;2516;2021-12-04 13:20:00:609
5.3317;6.0654;1.1109;0.72;-74.62;92.18;3016;2021-12-04 13:20:01:109
-6.3204;-7.8131;16.2332;-87.13;-568.6;-64.92;3516;2021-12-04 13:20:01:609
-6.8519;2.3618;6.5515;46.07;-100.05;200.0;4015;2021-12-04 13:20:02:108
10.3676;3.2703;3.718;56.47;-48.04;101.93;4516;2021-12-04 13:20:02:609
-9.9439;-8.7684;13.9588;-171.44;45.6;0.75;5016;2021-12-04 13:20:03:109
-6.749;0.0539;4.7415;58.47;-53.25;177.33;5516;2021-12-04 13:20:03:609
8.3171;5.7841;2.6742;47.77;-32.05;116.02;6016;2021-12-04 13:20:04:109
7.1787;-10.1725;8.6762;-28.24;-420.7;-753.48;6516;2021-12-04 13:20:04:609
-10.0325;-1.8195;7.691;53.55;6.92;172.78;7016;2021-12-04 13:20:05:109
7.8886;4.6469;0.5506;74.71;-59.3;158.98;7516;2021-12-04 13:20:05:609
7.7078;-6.8806;6.4964;-160.02;12.24;46.93;8016;2021-12-04 13:20:06:109
-6.9381;2.8586;7.8131;20.37;-16.1;157.1;8516;2021-12-04 13:20:06:609
5.2574;6.2534;4.143;21.23;-59.49;129.91;9016;2021-12-04 13:20:07:109
13.6535;-4.9713;-6.1864;1.47;-925.35;-284.62;9516;2021-12-04 13:20:07:609
-11.9585;1.3802;7.2673;0.91;-41.66;147.52;10016;2021-12-04 13:20:08:109
9.8074;3.9922;3.2356;41.44;-85.35;128.73;10516;2021-12-04 13:20:08:609
-62.7254;-33.2935;2.3091;-40.58;-568.13;-326.77;11016;2021-12-04 13:20:09:109
